

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

002.458  002.458: --- NVIM STARTING ---
082.923  080.465: event init
115.238  032.316: early init
118.029  002.791: locale set
127.623  009.594: init first window
143.646  016.024: inits 1
143.691  000.045: window checked
143.706  000.015: parsing arguments
160.572  000.272  000.272: require('vim.shared')
161.086  000.241  000.241: require('vim._meta')
161.100  000.505  000.264: require('vim._editor')
161.108  000.908  000.131: require('vim._init_packages')
161.115  016.500: init lua interpreter
161.269  000.154: expanding arguments
163.906  002.638: inits 2
165.267  001.360: init highlight
165.276  000.010: waiting for UI
169.013  003.737: done waiting for UI
169.065  000.052: init screen for UI
169.414  000.348: init default mappings
169.452  000.038: init default autocommands
195.131  014.412  014.412: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/ftplugin.vim
200.734  003.082  003.082: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/indent.vim
201.357  000.057  000.057: sourcing /usr/share/nvim/archlinux.vim
201.385  000.186  000.129: sourcing /etc/xdg/nvim/sysinit.vim
240.799  038.999  038.999: require('impatient')
240.984  000.164  000.164: require('impatient.profile')
241.128  000.118  000.118: require('user.utils')
246.787  000.325  000.325: require('packer.util')
246.855  000.729  000.404: require('packer')
248.197  000.804  000.804: require('packer.log')
248.212  001.064  000.259: require('packer.async')
248.846  000.465  000.465: require('packer.result')
248.861  000.639  000.175: require('packer.jobs')
248.889  001.966  000.263: require('packer.plugin_utils')
249.231  000.307  000.307: require('packer.snapshot')
250.923  000.214  000.214: require('mason-core.path')
250.949  000.449  000.234: require('mason.settings')
251.326  000.192  000.192: require('mason-core.functional')
251.736  000.140  000.140: require('mason-core.functional.data')
251.750  000.389  000.249: require('mason-core.functional.function')
251.993  000.204  000.204: require('mason-core.functional.relation')
252.226  000.197  000.197: require('mason-core.functional.logic')
252.283  001.324  000.342: require('mason-core.platform')
252.291  002.171  000.399: require('mason')
252.793  000.162  000.162: require('mason-core.functional.list')
252.858  000.525  000.363: require('mason.api.command')
253.207  000.194  000.194: require('mason-core.log')
253.219  000.352  000.158: require('mason-lspconfig')
253.351  000.124  000.124: require('mason-lspconfig.settings')
253.708  000.113  000.113: require('mason-core.notify')
253.729  000.280  000.168: require('mason-lspconfig.lspconfig_hook')
255.925  000.383  000.383: require('vim.lsp.log')
257.499  000.015  000.015: require('vim.F')
257.511  001.524  001.508: require('vim.lsp.protocol')
258.438  000.386  000.386: require('vim.lsp._snippet')
258.827  000.376  000.376: require('vim.highlight')
258.872  001.306  000.544: require('vim.lsp.util')
258.923  003.996  000.784: require('vim.lsp.handlers')
259.481  000.546  000.546: require('vim.lsp.rpc')
259.802  000.304  000.304: require('vim.lsp.sync')
260.177  000.363  000.363: require('vim.lsp.buf')
260.471  000.283  000.283: require('vim.lsp.diagnostic')
260.783  000.302  000.302: require('vim.lsp.codelens')
260.973  007.055  001.261: require('vim.lsp')
261.152  007.415  000.360: require('lspconfig.util')
261.708  000.177  000.177: require('mason-core.functional.table')
